y_true,y_pred,prob_class_Bundesliga,prob_class_Bundesliga 2,prob_class_EFL Championship,prob_class_LaLiga,prob_class_LaLiga 2,prob_class_Ligue 1,prob_class_Ligue 2,prob_class_Premier League,prob_class_Serie A,prob_class_Serie B,erreur,pays_true,pays_pred,meme_pays
Premier League,EFL Championship,0.0596138488121071,0.0046809831315918,0.702118113294879,0.0110809274939519,0.0008184408159996,0.0116564406139345,0.0008184515980353,0.2060870660377177,0.0027216732983797,0.0004040549034029,True,Angleterre,Angleterre,True
Ligue 2,EFL Championship,0.0087929089454747,0.0143405234141064,0.3371254962323274,0.0058905015665674,0.07094752565058,0.0246020805150221,0.3108426114739807,0.0107002707247083,0.0809218016402337,0.135836279836999,True,France,Angleterre,False
Premier League,EFL Championship,0.0103841078061435,0.009793207002239,0.5814517978536501,0.0072468854975927,0.0086706358008023,0.0036278469807117,0.0226074369354546,0.3091578519379355,0.0111514384153816,0.0359087917700884,True,Angleterre,Angleterre,True
Serie B,Ligue 2,0.0007210304501077,0.0026542159227284,0.0102189343720028,0.000256028118952,0.0096916687314512,0.0018686701643292,0.6214379402209433,0.0001566954620713,0.0015246011135556,0.351470215443858,True,Italie,France,False
LaLiga 2,LaLiga,0.010967486663922,0.0774776714975078,0.002359352890565,0.5339642954829525,0.3456249356811246,0.0101957799983652,0.0005779171741211,0.0041091071084231,0.0055115812295135,0.0092118722735048,True,Espagne,Espagne,True
Premier League,EFL Championship,0.0018572521440107,0.0349454566034736,0.5039648493971953,0.0026808593189328,0.0063600569298607,0.0992453899588877,0.0964648642036629,0.2249319552498745,0.0087318093551084,0.0208175068389929,True,Angleterre,Angleterre,True
EFL Championship,Premier League,0.0008509811116655,0.0274113619954505,0.3122206023704266,0.0128092565549173,0.1409309845306063,0.0132245659118345,0.0302761901330492,0.3835875866450018,0.0614471523103615,0.0172413184366866,True,Angleterre,Angleterre,True
LaLiga 2,Serie B,0.0002621763859476,0.1866612898596237,0.1372591784347236,0.0002569755273558,0.0973860928074262,0.0002027423260382,0.2097156878822558,0.0003851773583047,0.0027512151351047,0.3651194642832192,True,Espagne,Italie,False
Ligue 1,Premier League,0.0224795187354043,0.0061769233907749,0.2149356703783374,0.0285349190676064,0.1372932344204442,0.1882834753869175,0.0999555196184393,0.2216096075803831,0.0153359567252874,0.0653951746964052,True,France,Angleterre,False
Premier League,EFL Championship,0.0170599720835314,0.0537758252692262,0.520379266553724,0.0090344731042737,0.0364833120914471,0.018812225865731,0.0379815133639986,0.1609645033661342,0.0856559583201454,0.0598529499817878,True,Angleterre,Angleterre,True
Premier League,EFL Championship,0.0007631200013472,0.0001901658992165,0.9495737362763824,0.0005687266055047,0.0001027376461384,0.0005667416211948,0.000124556618481,0.0467564717660387,0.0011254885040695,0.0002282550616264,True,Angleterre,Angleterre,True
LaLiga 2,LaLiga,0.0152858717854379,0.076486354066242,0.0319981024092918,0.4767394505740742,0.1492849594515441,0.1639601552597283,0.0329397834560892,0.0109651037549098,0.0136863839490095,0.028653835293673,True,Espagne,Espagne,True
LaLiga 2,LaLiga,0.1429215195662647,0.0242251309768749,0.0451091260050473,0.3134275627957848,0.1565530151518457,0.112101053932528,0.0031342716358636,0.0903136476877673,0.099706931418641,0.0125077408293824,True,Espagne,Espagne,True
Serie A,LaLiga 2,0.0002613905906207,0.0511334253748143,0.0205094524854439,0.0060525600525456,0.4993932612465019,0.0019522661918792,0.0008638158695424,0.0012483342324435,0.0153971970449003,0.4031882969113075,True,Italie,Espagne,False
Bundesliga,Bundesliga 2,0.2817341808159376,0.281956478029384,0.072461357911664,0.0298809868869955,0.0328795787969888,0.0209224042913793,0.0919633831668704,0.0036710576762943,0.0208200772995695,0.1637104951249161,True,Allemagne,Allemagne,True
