y_true,y_pred,prob_class_Bundesliga,prob_class_Bundesliga 2,prob_class_EFL Championship,prob_class_LaLiga,prob_class_LaLiga 2,prob_class_Ligue 1,prob_class_Ligue 2,prob_class_Premier League,prob_class_Serie A,prob_class_Serie B,erreur,pays_true,pays_pred,meme_pays
Premier League,LaLiga,0.0007110383999066,0.0001017651651224,0.3751632401836956,0.4695026598250233,0.0001581798535657,0.0008811488825679,9.307711958146073e-06,0.1531821370094885,0.0002269524085342,6.357056013736508e-05,True,Angleterre,Espagne,False
LaLiga,LaLiga 2,0.0001155196659118,0.0002115792509069,0.0026235869888387,0.0262202691010407,0.9615717901663264,0.0021826626030938,0.0048835637904888,0.0015818638118756,4.739308929900672e-06,0.0006044253125873,True,Espagne,Espagne,True
Ligue 2,Ligue 1,0.0010420825425141,0.0005748425531353,0.0066816121927017,0.0002514413018302,0.0006431485082233,0.5770715735138976,0.411482251168315,0.002214088530166,6.874007954756714e-06,3.20856812615858e-05,True,France,France,True
LaLiga 2,LaLiga,0.000462712625996,0.0058306319528834,0.0013405049835475,0.6776532664182818,0.2998943192959625,0.0001130383219608,0.0138951298422988,4.562821614327623e-05,1.592291284998157e-05,0.0007488454300756,True,Espagne,Espagne,True
Ligue 1,Ligue 2,4.184551000787951e-05,0.0001668553952989,0.0328288962916784,7.276778435640027e-05,0.0001191417790231,0.3856890731699081,0.5642864098552621,0.0165381377179141,0.0001421676555941,0.0001147048409565,True,France,France,True
Bundesliga 2,EFL Championship,7.032725331201081e-06,0.0645000588810472,0.9295951066680248,1.2177848255941338e-06,0.0039163796440501,6.183144279091919e-06,0.0012820275908327,2.27504270225652e-05,4.444964432420186e-06,0.0006647981701541,True,Allemagne,Angleterre,False
Premier League,EFL Championship,0.0003040558017102,0.0002330936449581,0.7068208792453947,8.738771837921103e-05,2.543459808170857e-05,0.0003671520107384,3.591070529112243e-05,0.2920820992410202,2.349664303343956e-05,2.0490391392746157e-05,True,Angleterre,Angleterre,True
EFL Championship,Premier League,1.3921534059658587e-05,6.0779682055640735e-05,0.0165395586983712,6.630947374640229e-06,0.0001342050671144,0.0021284959712712,0.000306854307889,0.9803981083993318,2.364685630175904e-05,0.0003877985362303,True,Angleterre,Angleterre,True
EFL Championship,Premier League,0.0001576241471154,0.0009044395393704,0.389370204862012,0.0031307532324865,0.0136194636952096,0.0001861209260697,0.0010548750918828,0.5906827491838526,0.0004199977979687,0.0004737715240317,True,Angleterre,Angleterre,True
Premier League,EFL Championship,0.0001039497593558,3.059265009200234e-05,0.8173002596290844,0.0002048407726782,3.3491124906176746e-05,4.97027659093032e-05,1.768652580969709e-05,0.182205012067856,8.053052764672447e-06,4.641165154366493e-05,True,Angleterre,Angleterre,True
Premier League,EFL Championship,3.5903559878095435e-05,0.0017465519906205,0.5888969025500306,0.0001307639050206,0.0016543342897736,0.0001769008716863,8.6443495723868e-06,0.4061379548421554,0.0001646057275549,0.0010474379137074,True,Angleterre,Angleterre,True
