y_true,y_pred,prob_class_Bundesliga,prob_class_Bundesliga 2,prob_class_EFL Championship,prob_class_LaLiga,prob_class_LaLiga 2,prob_class_Ligue 1,prob_class_Ligue 2,prob_class_Premier League,prob_class_Serie A,prob_class_Serie B,erreur,pays_true,pays_pred,meme_pays
Serie B,Serie A,0.0025638647,0.0009913471,0.012965069,0.009395767,0.0058988063,0.018250074,0.22050889,0.040534474,0.3900926,0.29879907,True,Italie,Italie,True
Serie B,Serie A,0.08540712,0.016006945,0.04111752,0.0011274882,0.015648138,0.011459928,0.013657749,0.0008971836,0.5641104,0.25056756,True,Italie,Italie,True
Premier League,EFL Championship,0.0017381456,0.0007860915,0.6330622,0.0060527446,0.00473212,0.006592386,0.0010625456,0.34423164,0.0010859884,0.0006561385,True,Angleterre,Angleterre,True
LaLiga,LaLiga 2,0.00027008203,0.0028280895,0.0012540353,0.46661133,0.5155821,0.000733871,8.401829e-05,0.00024927568,0.0037838118,0.008603412,True,Espagne,Espagne,True
Premier League,EFL Championship,0.0022131063,0.001260634,0.60507953,0.0068937233,0.0026873988,0.007272912,0.0004484768,0.3703798,0.0016955211,0.0020688903,True,Angleterre,Angleterre,True
EFL Championship,Premier League,0.0031064113,0.0016482441,0.27553004,0.004374117,0.0047511547,0.00048167555,0.0035531318,0.70562196,0.0007493622,0.0001839134,True,Angleterre,Angleterre,True
Premier League,EFL Championship,0.00018018625,0.001088809,0.9816506,5.705356e-05,0.00023449138,0.00018742695,0.00042416583,0.015842758,0.00022450754,0.00011000949,True,Angleterre,Angleterre,True
Premier League,EFL Championship,0.009836386,0.013379194,0.9028394,0.00077253,0.0016183314,0.005420801,0.0031524994,0.026945947,0.03474554,0.0012893169,True,Angleterre,Angleterre,True
Premier League,EFL Championship,0.003761689,0.0044661853,0.83170533,0.016755745,0.0023877071,0.00095842686,0.00036388557,0.13921069,0.000172865,0.0002174541,True,Angleterre,Angleterre,True
EFL Championship,Premier League,0.00015135574,0.0016879616,0.48944804,0.0037726732,0.00069110584,0.0007959038,0.0034592205,0.4988404,0.00016097481,0.0009924037,True,Angleterre,Angleterre,True
LaLiga 2,Serie A,0.0038897053,0.0066535557,0.021585017,0.0024772396,0.28421998,0.001083435,0.00900451,0.0011702075,0.5105153,0.15940107,True,Espagne,Italie,False
Ligue 2,Ligue 1,0.012172969,0.0038866631,0.0005065351,0.020597668,0.0010568296,0.9337858,0.021628536,0.00237116,0.0008078834,0.003185933,True,France,France,True
LaLiga 2,LaLiga,0.008969274,0.054826137,0.035601724,0.56206036,0.27951387,0.0022459836,0.051802825,0.00091457233,0.00051608967,0.0035491593,True,Espagne,Espagne,True
LaLiga 2,LaLiga,0.0037795063,0.08091297,0.015303528,0.7480284,0.13161843,0.0022631981,0.014978466,0.00027961173,0.0004243792,0.0024115685,True,Espagne,Espagne,True
EFL Championship,Premier League,8.041083e-05,0.002990939,0.15080103,0.008117172,0.0007270935,0.00042362843,0.0010088616,0.82793576,0.0007748673,0.0071401796,True,Angleterre,Angleterre,True
Serie B,Serie A,0.00076044566,0.0019721657,0.019763023,0.00040323424,0.17810182,0.0011519042,0.012783712,0.0025410077,0.5748777,0.20764503,True,Italie,Italie,True
Serie A,Serie B,7.716405e-05,0.004815407,0.010326149,3.5023775e-05,0.10006451,0.000102896825,5.9749058e-05,0.0007426015,0.27765816,0.6061183,True,Italie,Italie,True
Bundesliga 2,Bundesliga,0.7778812,0.19741409,0.0040123886,0.0009065849,0.0003081786,0.0015367788,0.0015744846,0.015903605,0.00036388615,9.879671e-05,True,Allemagne,Allemagne,True
EFL Championship,Premier League,0.00045005602,0.0009799445,0.47243837,0.00026083962,0.00016837714,0.0003029754,0.0006630857,0.52441573,0.0001362386,0.00018436614,True,Angleterre,Angleterre,True
LaLiga 2,Serie B,0.0011930008,0.008919332,0.05065454,0.00016518084,0.1938663,0.0016373418,0.00782391,0.0009982383,0.07226061,0.66248155,True,Espagne,Italie,False
